crop_id,species
0039503b7e92bbca4b0b7ca6ca43b9d5_c00000,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00001,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00002,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00003,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00004,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00005,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00006,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00007,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00008,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00009,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00010,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00011,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00012,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00013,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00014,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00015,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00016,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00017,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00018,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00019,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00020,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00021,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00022,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00023,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00024,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00025,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00026,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00027,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00028,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00029,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00030,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00031,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00032,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00033,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00034,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00035,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00036,Dark-Eyed Junco
01c4417e03d470b4cafa58c32cfc5c78_c00037,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00038,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00039,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00040,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00041,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00042,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00043,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00044,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00045,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00046,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00047,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00048,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00049,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00050,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00051,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00052,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00053,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00054,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00055,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00056,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00057,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00058,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00059,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00060,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00061,Dark-Eyed Junco
01e99f654ef2386c68e052fe15694896_c00062,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00063,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00064,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00065,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00066,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00067,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00068,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00069,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00070,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00071,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00072,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00073,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00074,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00075,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00076,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00077,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00078,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00079,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00080,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00081,Dark-Eyed Junco
01f2b7643af1625ee178aa1643cd0494_c00082,Dark-Eyed Junco
