session_id,video_id,crop_ids,species
session_00000,0039503b7e92bbca4b0b7ca6ca43b9d5,0039503b7e92bbca4b0b7ca6ca43b9d5_c00000,Dark-Eyed Junco
session_00001,01c4417e03d470b4cafa58c32cfc5c78,"01c4417e03d470b4cafa58c32cfc5c78_c00004,01c4417e03d470b4cafa58c32cfc5c78_c00005,01c4417e03d470b4cafa58c32cfc5c78_c00006,01c4417e03d470b4cafa58c32cfc5c78_c00007,01c4417e03d470b4cafa58c32cfc5c78_c00008,01c4417e03d470b4cafa58c32cfc5c78_c00009,01c4417e03d470b4cafa58c32cfc5c78_c00010,01c4417e03d470b4cafa58c32cfc5c78_c00012,01c4417e03d470b4cafa58c32cfc5c78_c00013,01c4417e03d470b4cafa58c32cfc5c78_c00014,01c4417e03d470b4cafa58c32cfc5c78_c00015,01c4417e03d470b4cafa58c32cfc5c78_c00018,01c4417e03d470b4cafa58c32cfc5c78_c00019,01c4417e03d470b4cafa58c32cfc5c78_c00020,01c4417e03d470b4cafa58c32cfc5c78_c00021,01c4417e03d470b4cafa58c32cfc5c78_c00022,01c4417e03d470b4cafa58c32cfc5c78_c00023,01c4417e03d470b4cafa58c32cfc5c78_c00024,01c4417e03d470b4cafa58c32cfc5c78_c00025,01c4417e03d470b4cafa58c32cfc5c78_c00027,01c4417e03d470b4cafa58c32cfc5c78_c00028,01c4417e03d470b4cafa58c32cfc5c78_c00029,01c4417e03d470b4cafa58c32cfc5c78_c00030,01c4417e03d470b4cafa58c32cfc5c78_c00031,01c4417e03d470b4cafa58c32cfc5c78_c00033,01c4417e03d470b4cafa58c32cfc5c78_c00034,01c4417e03d470b4cafa58c32cfc5c78_c00036,01c4417e03d470b4cafa58c32cfc5c78_c00037",Dark-Eyed Junco
session_00002,01c4417e03d470b4cafa58c32cfc5c78,"01c4417e03d470b4cafa58c32cfc5c78_c00011,01c4417e03d470b4cafa58c32cfc5c78_c00016,01c4417e03d470b4cafa58c32cfc5c78_c00017,01c4417e03d470b4cafa58c32cfc5c78_c00026,01c4417e03d470b4cafa58c32cfc5c78_c00032,01c4417e03d470b4cafa58c32cfc5c78_c00035",Dark-Eyed Junco
session_00003,01c4417e03d470b4cafa58c32cfc5c78,"01c4417e03d470b4cafa58c32cfc5c78_c00001,01c4417e03d470b4cafa58c32cfc5c78_c00002,01c4417e03d470b4cafa58c32cfc5c78_c00003",Dark-Eyed Junco
session_00004,01e99f654ef2386c68e052fe15694896,"01e99f654ef2386c68e052fe15694896_c00038,01e99f654ef2386c68e052fe15694896_c00040,01e99f654ef2386c68e052fe15694896_c00042,01e99f654ef2386c68e052fe15694896_c00043,01e99f654ef2386c68e052fe15694896_c00044,01e99f654ef2386c68e052fe15694896_c00045,01e99f654ef2386c68e052fe15694896_c00046,01e99f654ef2386c68e052fe15694896_c00047,01e99f654ef2386c68e052fe15694896_c00048,01e99f654ef2386c68e052fe15694896_c00049,01e99f654ef2386c68e052fe15694896_c00051,01e99f654ef2386c68e052fe15694896_c00052,01e99f654ef2386c68e052fe15694896_c00053,01e99f654ef2386c68e052fe15694896_c00054,01e99f654ef2386c68e052fe15694896_c00055,01e99f654ef2386c68e052fe15694896_c00056,01e99f654ef2386c68e052fe15694896_c00057,01e99f654ef2386c68e052fe15694896_c00058,01e99f654ef2386c68e052fe15694896_c00059,01e99f654ef2386c68e052fe15694896_c00060",Dark-Eyed Junco
session_00005,01e99f654ef2386c68e052fe15694896,"01e99f654ef2386c68e052fe15694896_c00039,01e99f654ef2386c68e052fe15694896_c00050",Dark-Eyed Junco
session_00006,01e99f654ef2386c68e052fe15694896,"01e99f654ef2386c68e052fe15694896_c00061,01e99f654ef2386c68e052fe15694896_c00062",Dark-Eyed Junco
session_00007,01e99f654ef2386c68e052fe15694896,01e99f654ef2386c68e052fe15694896_c00041,Dark-Eyed Junco
session_00008,01f2b7643af1625ee178aa1643cd0494,"01f2b7643af1625ee178aa1643cd0494_c00063,01f2b7643af1625ee178aa1643cd0494_c00064,01f2b7643af1625ee178aa1643cd0494_c00065,01f2b7643af1625ee178aa1643cd0494_c00066,01f2b7643af1625ee178aa1643cd0494_c00067,01f2b7643af1625ee178aa1643cd0494_c00068,01f2b7643af1625ee178aa1643cd0494_c00069,01f2b7643af1625ee178aa1643cd0494_c00070,01f2b7643af1625ee178aa1643cd0494_c00071,01f2b7643af1625ee178aa1643cd0494_c00072,01f2b7643af1625ee178aa1643cd0494_c00073,01f2b7643af1625ee178aa1643cd0494_c00074,01f2b7643af1625ee178aa1643cd0494_c00075,01f2b7643af1625ee178aa1643cd0494_c00076,01f2b7643af1625ee178aa1643cd0494_c00077,01f2b7643af1625ee178aa1643cd0494_c00078,01f2b7643af1625ee178aa1643cd0494_c00079,01f2b7643af1625ee178aa1643cd0494_c00080,01f2b7643af1625ee178aa1643cd0494_c00081,01f2b7643af1625ee178aa1643cd0494_c00082,01f2b7643af1625ee178aa1643cd0494_c00083,01f2b7643af1625ee178aa1643cd0494_c00084,01f2b7643af1625ee178aa1643cd0494_c00085,01f2b7643af1625ee178aa1643cd0494_c00086,01f2b7643af1625ee178aa1643cd0494_c00087,01f2b7643af1625ee178aa1643cd0494_c00088,01f2b7643af1625ee178aa1643cd0494_c00089,01f2b7643af1625ee178aa1643cd0494_c00090,01f2b7643af1625ee178aa1643cd0494_c00091,01f2b7643af1625ee178aa1643cd0494_c00092,01f2b7643af1625ee178aa1643cd0494_c00093,01f2b7643af1625ee178aa1643cd0494_c00094,01f2b7643af1625ee178aa1643cd0494_c00095,01f2b7643af1625ee178aa1643cd0494_c00096,01f2b7643af1625ee178aa1643cd0494_c00097,01f2b7643af1625ee178aa1643cd0494_c00098,01f2b7643af1625ee178aa1643cd0494_c00099,01f2b7643af1625ee178aa1643cd0494_c00100,01f2b7643af1625ee178aa1643cd0494_c00101",Dark-Eyed Junco
session_00009,020091cc06c17c7b2f408fb4d30465d8,"020091cc06c17c7b2f408fb4d30465d8_c00102,020091cc06c17c7b2f408fb4d30465d8_c00103,020091cc06c17c7b2f408fb4d30465d8_c00104,020091cc06c17c7b2f408fb4d30465d8_c00106,020091cc06c17c7b2f408fb4d30465d8_c00107,020091cc06c17c7b2f408fb4d30465d8_c00108,020091cc06c17c7b2f408fb4d30465d8_c00109,020091cc06c17c7b2f408fb4d30465d8_c00110,020091cc06c17c7b2f408fb4d30465d8_c00112,020091cc06c17c7b2f408fb4d30465d8_c00115,020091cc06c17c7b2f408fb4d30465d8_c00116,020091cc06c17c7b2f408fb4d30465d8_c00117,020091cc06c17c7b2f408fb4d30465d8_c00118,020091cc06c17c7b2f408fb4d30465d8_c00119,020091cc06c17c7b2f408fb4d30465d8_c00120,020091cc06c17c7b2f408fb4d30465d8_c00121,020091cc06c17c7b2f408fb4d30465d8_c00122,020091cc06c17c7b2f408fb4d30465d8_c00123,020091cc06c17c7b2f408fb4d30465d8_c00125,020091cc06c17c7b2f408fb4d30465d8_c00128,020091cc06c17c7b2f408fb4d30465d8_c00129",Dark-Eyed Junco
session_00010,020091cc06c17c7b2f408fb4d30465d8,"020091cc06c17c7b2f408fb4d30465d8_c00111,020091cc06c17c7b2f408fb4d30465d8_c00113,020091cc06c17c7b2f408fb4d30465d8_c00114,020091cc06c17c7b2f408fb4d30465d8_c00126,020091cc06c17c7b2f408fb4d30465d8_c00127",Dark-Eyed Junco
session_00011,020091cc06c17c7b2f408fb4d30465d8,"020091cc06c17c7b2f408fb4d30465d8_c00105,020091cc06c17c7b2f408fb4d30465d8_c00124",Dark-Eyed Junco
session_00012,035caf99d64b99ad54086f56451f33dd,035caf99d64b99ad54086f56451f33dd_c00131,Dark-Eyed Junco
session_00013,035caf99d64b99ad54086f56451f33dd,035caf99d64b99ad54086f56451f33dd_c00130,Dark-Eyed Junco
session_00014,05e97ad93318c9aea8c45a20d9eaf0b1,"05e97ad93318c9aea8c45a20d9eaf0b1_c00132,05e97ad93318c9aea8c45a20d9eaf0b1_c00133,05e97ad93318c9aea8c45a20d9eaf0b1_c00134,05e97ad93318c9aea8c45a20d9eaf0b1_c00135",Dark-Eyed Junco
session_00015,08e8020ea729c10da444cbc312c3aaa1,"08e8020ea729c10da444cbc312c3aaa1_c00166,08e8020ea729c10da444cbc312c3aaa1_c00167,08e8020ea729c10da444cbc312c3aaa1_c00172,08e8020ea729c10da444cbc312c3aaa1_c00173,08e8020ea729c10da444cbc312c3aaa1_c00174,08e8020ea729c10da444cbc312c3aaa1_c00175",Dark-Eyed Junco
session_00016,08e8020ea729c10da444cbc312c3aaa1,"08e8020ea729c10da444cbc312c3aaa1_c00144,08e8020ea729c10da444cbc312c3aaa1_c00153",Dark-Eyed Junco
